2014-12-24 오후 10:29:43 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:44 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:45 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:46 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:47 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:48 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:49 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:50 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:51 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:52 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:53 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:54 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:55 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:56 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:57 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:58 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:29:59 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:00 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:01 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:02 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:03 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:04 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:05 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:06 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:07 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:08 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:09 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:10 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:11 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:12 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:13 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:14 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:15 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:16 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:17 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:18 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:19 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:20 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:21 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:22 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:23 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:24 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:25 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:26 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:27 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:28 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:29 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:30 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:31 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:32 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:33 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:34 Reply from 192.168.0.14; bytes=32 time<0 TTL=128
2014-12-24 오후 10:30:52 Reply from 192.168.0.1; bytes=32 time<3 TTL=64
2014-12-24 오후 10:30:53 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:30:54 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:30:55 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:30:56 Reply from 192.168.0.1; bytes=32 time<3 TTL=64
2014-12-24 오후 10:30:57 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:30:58 Reply from 192.168.0.1; bytes=32 time<6 TTL=64
2014-12-24 오후 10:30:59 Reply from 192.168.0.1; bytes=32 time<4 TTL=64
2014-12-24 오후 10:31:00 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:31:01 Reply from 192.168.0.1; bytes=32 time<2 TTL=64
2014-12-24 오후 10:31:02 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
2014-12-24 오후 10:31:03 Reply from 192.168.0.1; bytes=32 time<23 TTL=64
2014-12-24 오후 10:31:04 Reply from 192.168.0.1; bytes=32 time<1 TTL=64
