파일생성 : 2014-12-24 오후 8:51:28

로컬주소	로컬포트	외부주소	외부포트	상태
192.168.0.14	51096	202.131.27.204	80	TimeWait
192.168.0.14	51098	125.209.230.167	80	TimeWait
192.168.0.14	51099	182.162.92.25	80	CloseWait
192.168.0.14	51100	182.162.92.25	80	CloseWait
192.168.0.14	51101	182.162.92.25	80	CloseWait
192.168.0.14	51102	182.162.92.25	80	CloseWait
192.168.0.14	51103	182.162.92.25	80	CloseWait
192.168.0.14	51104	182.162.92.25	80	CloseWait
192.168.0.14	51109	121.156.109.88	80	LastAck
192.168.0.14	51110	121.156.109.88	80	LastAck
192.168.0.14	51111	121.156.109.88	80	LastAck
192.168.0.14	51112	211.106.65.163	80	LastAck
192.168.0.14	51113	211.106.65.163	80	LastAck
192.168.0.14	51114	211.106.65.163	80	LastAck
192.168.0.14	51115	211.106.65.163	80	LastAck
192.168.0.14	51116	134.170.185.125	80	Established
192.168.0.14	51117	134.170.185.125	80	Established
192.168.0.14	51118	65.55.108.23	443	Established
192.168.0.14	51119	65.55.108.23	443	Established
192.168.0.14	51120	184.25.84.129	80	Established
192.168.0.14	51121	184.25.84.129	80	CloseWait
192.168.0.14	51122	182.162.92.35	80	LastAck
192.168.0.14	51123	182.162.92.35	80	LastAck
192.168.0.14	51124	182.162.92.37	80	LastAck
192.168.0.14	51125	182.162.92.37	80	LastAck
192.168.0.14	51126	182.162.92.37	80	LastAck
192.168.0.14	51127	192.229.145.200	80	CloseWait
192.168.0.14	51128	192.229.145.200	80	CloseWait
192.168.0.14	51129	184.25.29.135	80	Established
192.168.0.14	51130	184.25.29.135	80	Established
192.168.0.14	51131	23.12.230.235	80	Established
192.168.0.14	51132	23.12.230.235	80	CloseWait
192.168.0.14	51133	184.25.29.135	80	Established
192.168.0.14	51134	184.25.29.135	80	Established
192.168.0.14	51136	184.25.29.135	80	Established
192.168.0.14	51139	121.156.109.90	80	LastAck
192.168.0.14	51140	121.156.109.90	80	LastAck
192.168.0.14	51141	182.162.92.17	80	LastAck
192.168.0.14	51142	182.162.92.17	80	LastAck
192.168.0.14	51149	111.221.29.30	80	Established
192.168.0.14	51152	111.221.29.30	80	Established
192.168.0.14	51153	123.215.198.10	80	CloseWait
192.168.0.14	51154	123.215.198.10	80	Established
192.168.0.14	51155	50.97.236.98	80	Established
192.168.0.14	51156	50.97.236.98	80	CloseWait
192.168.0.14	51157	54.249.35.158	80	CloseWait
192.168.0.14	51158	54.249.35.158	80	CloseWait
192.168.0.14	51172	125.209.214.38	80	Established

파일생성 종료 : 2014-12-24 오후 8:51:28
